STATSB,OPHOLD,TID,INDHOLD
Stateless,"Study etc., education",2021,5
Stateless,"Study etc., interns",2021,1
Albania,"Study etc., education",2021,6
Albania,"Study etc., interns",2021,8
Albania,"Study etc., other reasons",2021,1
Belgium,"Study etc., other reasons",2021,3
France,"Study etc., other reasons",2021,3
Greece,"Study etc., other reasons",2021,1
Netherlands,"Study etc., other reasons",2021,3
Ireland,"Study etc., education",2021,1
Ireland,"Study etc., other reasons",2021,1
Italy,"Study etc., au pair",2021,1
Italy,"Study etc., other reasons",2021,4
Poland,"Study etc., other reasons",2021,2
Portugal,"Study etc., other reasons",2021,2
Romania,"Study etc., other reasons",2021,2
Spain,"Study etc., other reasons",2021,2
United Kingdom,"Study etc., education",2021,202
United Kingdom,"Study etc., au pair",2021,2
United Kingdom,"Study etc., interns",2021,17
United Kingdom,"Study etc., other reasons",2021,16
Turkey,"Study etc., education",2021,91
Turkey,"Study etc., interns",2021,29
Turkey,"Study etc., other reasons",2021,59
Germany,"Study etc., au pair",2021,1
Germany,"Study etc., other reasons",2021,7
Austria,"Study etc., other reasons",2021,3
Algeria,"Study etc., education",2021,4
Botswana,"Study etc., education",2021,1
Ethiopia,"Study etc., education",2021,6
Ethiopia,"Study etc., au pair",2021,1
Ethiopia,"Study etc., other reasons",2021,2
Ghana,"Study etc., education",2021,28
Ghana,"Study etc., au pair",2021,1
Ghana,"Study etc., interns",2021,3
Ghana,"Study etc., other reasons",2021,3
Kenya,"Study etc., education",2021,18
Kenya,"Study etc., au pair",2021,12
Kenya,"Study etc., other reasons",2021,2
Lesotho,"Study etc., interns",2021,1
Liberia,"Study etc., education",2021,1
Mozambique,"Study etc., education",2021,3
Madagascar,"Study etc., education",2021,2
Madagascar,"Study etc., au pair",2021,1
Morocco,"Study etc., education",2021,12
Morocco,"Study etc., interns",2021,3
Nigeria,"Study etc., education",2021,22
Nigeria,"Study etc., au pair",2021,5
Nigeria,"Study etc., interns",2021,1
Nigeria,"Study etc., other reasons",2021,9
Sierra Leone,"Study etc., education",2021,1
Sierra Leone,"Study etc., interns",2021,1
Sudan,"Study etc., education",2021,2
Eswantini,"Study etc., education",2021,1
South Africa,"Study etc., education",2021,12
South Africa,"Study etc., au pair",2021,5
South Africa,"Study etc., interns",2021,2
South Africa,"Study etc., other reasons",2021,1
Tanzania,"Study etc., education",2021,3
Tanzania,"Study etc., other reasons",2021,1
Tunisia,"Study etc., education",2021,3
Tunisia,"Study etc., interns",2021,6
Tunisia,"Study etc., other reasons",2021,2
Uganda,"Study etc., education",2021,4
Uganda,"Study etc., interns",2021,81
Egypt,"Study etc., education",2021,19
Egypt,"Study etc., interns",2021,2
Egypt,"Study etc., other reasons",2021,19
Cameroon,"Study etc., education",2021,24
Cameroon,"Study etc., other reasons",2021,6
"Congo, Democratic Republic","Study etc., education",2021,4
"Congo, Democratic Republic","Study etc., other reasons",2021,5
Ivory Coast,"Study etc., education",2021,1
Rwanda,"Study etc., education",2021,2
Rwanda,"Study etc., interns",2021,1
Senegal,"Study etc., education",2021,1
Somalia,"Study etc., education",2021,1
Burkina Faso,"Study etc., education",2021,1
Burkina Faso,"Study etc., au pair",2021,1
Zimbabwe,"Study etc., education",2021,5
Zimbabwe,"Study etc., interns",2021,2
Zambia,"Study etc., education",2021,4
Zambia,"Study etc., au pair",2021,2
Zambia,"Study etc., interns",2021,1
Argentina,"Study etc., education",2021,20
Argentina,"Study etc., au pair",2021,16
Argentina,"Study etc., interns",2021,4
Argentina,"Study etc., other reasons",2021,4
Bolivia,"Study etc., education",2021,3
Bolivia,"Study etc., au pair",2021,1
Bolivia,"Study etc., other reasons",2021,1
Brazil,"Study etc., education",2021,91
Brazil,"Study etc., au pair",2021,12
Brazil,"Study etc., interns",2021,41
Brazil,"Study etc., other reasons",2021,12
Antigua and Barbuda,"Study etc., interns",2021,1
Canada,"Study etc., education",2021,86
Canada,"Study etc., interns",2021,9
Canada,"Study etc., other reasons",2021,6
Chile,"Study etc., education",2021,33
Chile,"Study etc., au pair",2021,2
Chile,"Study etc., interns",2021,1
Chile,"Study etc., other reasons",2021,16
Colombia,"Study etc., education",2021,59
Colombia,"Study etc., au pair",2021,9
Colombia,"Study etc., interns",2021,14
Colombia,"Study etc., other reasons",2021,5
Costa Rica,"Study etc., education",2021,12
Costa Rica,"Study etc., other reasons",2021,3
Cuba,"Study etc., education",2021,2
Dominican Republic,"Study etc., education",2021,3
Ecuador,"Study etc., education",2021,8
Ecuador,"Study etc., other reasons",2021,1
Guatemala,"Study etc., education",2021,10
Honduras,"Study etc., education",2021,3
Jamaica,"Study etc., education",2021,1
Mexico,"Study etc., education",2021,150
Mexico,"Study etc., au pair",2021,5
Mexico,"Study etc., interns",2021,4
Mexico,"Study etc., other reasons",2021,10
Nicaragua,"Study etc., education",2021,1
Panama,"Study etc., education",2021,1
Panama,"Study etc., other reasons",2021,1
Paraguay,"Study etc., education",2021,3
Peru,"Study etc., education",2021,8
Peru,"Study etc., au pair",2021,3
El Salvador,"Study etc., education",2021,1
Trinidad and Tobago,"Study etc., education",2021,1
Uruguay,"Study etc., education",2021,2
USA,"Study etc., education",2021,1239
USA,"Study etc., au pair",2021,1
USA,"Study etc., interns",2021,37
USA,"Study etc., other reasons",2021,88
Venezuela,"Study etc., education",2021,2
Yemen,"Study etc., education",2021,4
Afghanistan,"Study etc., education",2021,2
Bhutan,"Study etc., education",2021,2
Bangladesh,"Study etc., education",2021,201
Bangladesh,"Study etc., interns",2021,10
Bangladesh,"Study etc., other reasons",2021,93
Cambodia,"Study etc., education",2021,4
Sri Lanka,"Study etc., education",2021,10
Sri Lanka,"Study etc., other reasons",2021,46
Taiwan,"Study etc., education",2021,46
Taiwan,"Study etc., interns",2021,3
Taiwan,"Study etc., other reasons",2021,2
Hong Kong,"Study etc., education",2021,5
India,"Study etc., education",2021,330
India,"Study etc., interns",2021,117
India,"Study etc., other reasons",2021,88
Indonesia,"Study etc., education",2021,30
Indonesia,"Study etc., au pair",2021,10
Indonesia,"Study etc., interns",2021,2
Indonesia,"Study etc., other reasons",2021,5
Iraq,"Study etc., education",2021,2
Iraq,"Study etc., interns",2021,2
Iraq,"Study etc., other reasons",2021,54
Iran,"Study etc., education",2021,134
Iran,"Study etc., interns",2021,4
Iran,"Study etc., other reasons",2021,547
Israel,"Study etc., education",2021,24
Israel,"Study etc., other reasons",2021,3
Japan,"Study etc., education",2021,258
Japan,"Study etc., au pair",2021,2
Japan,"Study etc., interns",2021,7
Japan,"Study etc., other reasons",2021,8
Jordan,"Study etc., education",2021,2
Jordan,"Study etc., interns",2021,3
China,"Study etc., education",2021,1016
China,"Study etc., interns",2021,37
