STATSB,OPHOLD,TID,INDHOLD
Albania,"Study etc., education",2025M08,1
United Kingdom,"Study etc., education",2025M08,81
United Kingdom,"Study etc., interns",2025M08,4
Turkey,"Study etc., education",2025M08,19
Turkey,"Study etc., interns",2025M08,3
Turkey,"Study etc., other reasons",2025M08,3
Algeria,"Study etc., education",2025M08,1
Angola,"Study etc., education",2025M08,1
Ethiopia,"Study etc., education",2025M08,1
Ethiopia,"Study etc., other reasons",2025M08,1
Ghana,"Study etc., education",2025M08,5
Ghana,"Study etc., interns",2025M08,1
Kenya,"Study etc., education",2025M08,4
Kenya,"Study etc., au pair",2025M08,1
Kenya,"Study etc., interns",2025M08,23
Kenya,"Study etc., other reasons",2025M08,1
Morocco,"Study etc., education",2025M08,5
Nigeria,"Study etc., education",2025M08,8
Nigeria,"Study etc., other reasons",2025M08,4
Namibia,"Study etc., interns",2025M08,1
Sierra Leone,"Study etc., education",2025M08,1
South Sudan,"Study etc., education",2025M08,1
South Africa,"Study etc., education",2025M08,11
South Africa,"Study etc., interns",2025M08,1
Tanzania,"Study etc., education",2025M08,1
Tanzania,"Study etc., interns",2025M08,12
Tunisia,"Study etc., education",2025M08,4
Uganda,"Study etc., interns",2025M08,66
Egypt,"Study etc., education",2025M08,3
Egypt,"Study etc., au pair",2025M08,1
Egypt,"Study etc., interns",2025M08,1
Egypt,"Study etc., other reasons",2025M08,2
Cameroon,"Study etc., education",2025M08,29
Cameroon,"Study etc., other reasons",2025M08,13
"Congo, Democratic Republic","Study etc., other reasons",2025M08,6
Ivory Coast,"Study etc., education",2025M08,1
Zimbabwe,"Study etc., education",2025M08,1
Zimbabwe,"Study etc., interns",2025M08,2
Zambia,"Study etc., education",2025M08,1
Argentina,"Study etc., education",2025M08,5
Bolivia,"Study etc., education",2025M08,1
Brazil,"Study etc., education",2025M08,33
Brazil,"Study etc., au pair",2025M08,1
Brazil,"Study etc., other reasons",2025M08,2
Guyana,"Study etc., education",2025M08,1
Canada,"Study etc., education",2025M08,80
Canada,"Study etc., interns",2025M08,4
Canada,"Study etc., other reasons",2025M08,6
Chile,"Study etc., education",2025M08,9
Chile,"Study etc., other reasons",2025M08,1
Colombia,"Study etc., education",2025M08,12
Costa Rica,"Study etc., education",2025M08,1
Ecuador,"Study etc., education",2025M08,3
Guatemala,"Study etc., education",2025M08,2
Honduras,"Study etc., education",2025M08,1
Mexico,"Study etc., education",2025M08,54
Mexico,"Study etc., interns",2025M08,5
Mexico,"Study etc., other reasons",2025M08,1
Panama,"Study etc., education",2025M08,1
Paraguay,"Study etc., education",2025M08,2
Peru,"Study etc., education",2025M08,5
El Salvador,"Study etc., education",2025M08,1
Uruguay,"Study etc., education",2025M08,1
USA,"Study etc., education",2025M08,292
USA,"Study etc., au pair",2025M08,1
USA,"Study etc., interns",2025M08,8
USA,"Study etc., other reasons",2025M08,16
Venezuela,"Study etc., education",2025M08,2
Afghanistan,"Study etc., education",2025M08,3
Afghanistan,"Study etc., other reasons",2025M08,30
Bangladesh,"Study etc., education",2025M08,310
Bangladesh,"Study etc., interns",2025M08,9
Bangladesh,"Study etc., other reasons",2025M08,232
Myanmar,"Study etc., education",2025M08,1
Myanmar,"Study etc., interns",2025M08,1
Cambodia,"Study etc., interns",2025M08,1
Sri Lanka,"Study etc., education",2025M08,9
Sri Lanka,"Study etc., interns",2025M08,2
Sri Lanka,"Study etc., other reasons",2025M08,97
India,"Study etc., education",2025M08,75
India,"Study etc., interns",2025M08,9
India,"Study etc., other reasons",2025M08,38
Indonesia,"Study etc., education",2025M08,10
Indonesia,"Study etc., interns",2025M08,1
Indonesia,"Study etc., other reasons",2025M08,5
Iraq,"Study etc., other reasons",2025M08,1
Iran,"Study etc., education",2025M08,33
Iran,"Study etc., other reasons",2025M08,123
Israel,"Study etc., education",2025M08,3
Israel,"Study etc., other reasons",2025M08,2
Japan,"Study etc., education",2025M08,85
Japan,"Study etc., other reasons",2025M08,16
China,"Study etc., education",2025M08,116
China,"Study etc., interns",2025M08,6
China,"Study etc., other reasons",2025M08,2
Lebanon,"Study etc., education",2025M08,2
Lebanon,"Study etc., other reasons",2025M08,1
Malaysia,"Study etc., education",2025M08,6
Nepal,"Study etc., education",2025M08,37
Nepal,"Study etc., au pair",2025M08,2
Nepal,"Study etc., interns",2025M08,6
Nepal,"Study etc., other reasons",2025M08,105
Vietnam,"Study etc., education",2025M08,6
Vietnam,"Study etc., interns",2025M08,52
Pakistan,"Study etc., education",2025M08,25
Pakistan,"Study etc., other reasons",2025M08,137
Philippines,"Study etc., education",2025M08,2
Philippines,"Study etc., au pair",2025M08,39
Philippines,"Study etc., interns",2025M08,9
Saudi Arabia,"Study etc., interns",2025M08,2
Singapore,"Study etc., education",2025M08,41
South Korea,"Study etc., education",2025M08,36
South Korea,"Study etc., interns",2025M08,1
South Korea,"Study etc., other reasons",2025M08,4
Syria,"Study etc., education",2025M08,1
Thailand,"Study etc., education",2025M08,10
Thailand,"Study etc., au pair",2025M08,3
Thailand,"Study etc., interns",2025M08,4
Thailand,"Study etc., other reasons",2025M08,4
Australia,"Study etc., education",2025M08,77
Australia,"Study etc., other reasons",2025M08,18
New Zealand,"Study etc., education",2025M08,10
Papua New Guinea,"Study etc., education",2025M08,1
Russia,"Study etc., education",2025M08,6
Russia,"Study etc., au pair",2025M08,1
Russia,"Study etc., interns",2025M08,1
Ukraine,"Study etc., education",2025M08,15
Ukraine,"Study etc., interns",2025M08,1
Ukraine,"Study etc., other reasons",2025M08,2
Azerbaijan,"Study etc., education",2025M08,2
Moldova,"Study etc., education",2025M08,1
Uzbekistan,"Study etc., education",2025M08,1
Uzbekistan,"Study etc., interns",2025M08,4
Kazakhstan,"Study etc., education",2025M08,3
Kyrgyzstan,"Study etc., interns",2025M08,2
Serbia,"Study etc., education",2025M08,4
Kosovo,"Study etc., education",2025M08,1
Not stated,"Study etc., education",2025M08,1
Not stated,"Study etc., interns",2025M08,1
Stateless,"Study etc., education",2024M08,3
Stateless,"Study etc., other reasons",2024M08,1
Albania,"Study etc., education",2024M08,3
Poland,"Study etc., education",2024M08,1
United Kingdom,"Study etc., education",2024M08,74
United Kingdom,"Study etc., interns",2024M08,2
Turkey,"Study etc., education",2024M08,19
Turkey,"Study etc., interns",2024M08,4
Turkey,"Study etc., other reasons",2024M08,4
Germany,"Study etc., other reasons",2024M08,2
Algeria,"Study etc., education",2024M08,1
Algeria,"Study etc., other reasons",2024M08,1
Ethiopia,"Study etc., education",2024M08,2
Ghana,"Study etc., education",2024M08,9
Ghana,"Study etc., interns",2024M08,1
Ghana,"Study etc., other reasons",2024M08,1
Kenya,"Study etc., au pair",2024M08,3
Kenya,"Study etc., interns",2024M08,9
Morocco,"Study etc., education",2024M08,4
Nigeria,"Study etc., education",2024M08,10
Nigeria,"Study etc., other reasons",2024M08,4
South Africa,"Study etc., education",2024M08,4
Tanzania,"Study etc., interns",2024M08,15
Tunisia,"Study etc., other reasons",2024M08,1
Uganda,"Study etc., education",2024M08,3
Uganda,"Study etc., interns",2024M08,45
Uganda,"Study etc., other reasons",2024M08,1
Egypt,"Study etc., education",2024M08,5
Egypt,"Study etc., other reasons",2024M08,6
Cameroon,"Study etc., education",2024M08,25
Cameroon,"Study etc., other reasons",2024M08,1
"Congo, Democratic Republic","Study etc., education",2024M08,1
Chad,"Study etc., education",2024M08,1
Argentina,"Study etc., education",2024M08,3
Argentina,"Study etc., other reasons",2024M08,10
Bolivia,"Study etc., education",2024M08,1
Brazil,"Study etc., education",2024M08,29
Brazil,"Study etc., interns",2024M08,3
Brazil,"Study etc., other reasons",2024M08,2
Canada,"Study etc., education",2024M08,68
Canada,"Study etc., interns",2024M08,1
Canada,"Study etc., other reasons",2024M08,3
Chile,"Study etc., education",2024M08,5
Colombia,"Study etc., education",2024M08,10
Colombia,"Study etc., interns",2024M08,1
Colombia,"Study etc., other reasons",2024M08,2
Ecuador,"Study etc., education",2024M08,2
Guatemala,"Study etc., education",2024M08,1
Mexico,"Study etc., education",2024M08,57
Panama,"Study etc., education",2024M08,1
Paraguay,"Study etc., education",2024M08,1
Peru,"Study etc., education",2024M08,5
Trinidad and Tobago,"Study etc., education",2024M08,1
Uruguay,"Study etc., education",2024M08,1
USA,"Study etc., education",2024M08,191
USA,"Study etc., interns",2024M08,3
USA,"Study etc., other reasons",2024M08,6
Venezuela,"Study etc., education",2024M08,1
United Arab Emirates,"Study etc., education",2024M08,1
Afghanistan,"Study etc., other reasons",2024M08,3
Bahrain,"Study etc., interns",2024M08,1
Bangladesh,"Study etc., education",2024M08,512
Bangladesh,"Study etc., interns",2024M08,2
Bangladesh,"Study etc., other reasons",2024M08,50
Myanmar,"Study etc., education",2024M08,1
Sri Lanka,"Study etc., education",2024M08,6
Sri Lanka,"Study etc., other reasons",2024M08,106
Taiwan,"Study etc., education",2024M08,1
India,"Study etc., education",2024M08,114
India,"Study etc., interns",2024M08,13
India,"Study etc., other reasons",2024M08,11
Indonesia,"Study etc., education",2024M08,8
Iran,"Study etc., education",2024M08,30
Iran,"Study etc., other reasons",2024M08,254
Israel,"Study etc., education",2024M08,4
Israel,"Study etc., other reasons",2024M08,1
Japan,"Study etc., education",2024M08,45
Japan,"Study etc., interns",2024M08,2
Japan,"Study etc., other reasons",2024M08,10
Jordan,"Study etc., education",2024M08,3
China,"Study etc., education",2024M08,189
China,"Study etc., interns",2024M08,4
China,"Study etc., other reasons",2024M08,3
Lebanon,"Study etc., education",2024M08,3
Mongolia,"Study etc., education",2024M08,1
Nepal,"Study etc., education",2024M08,565
Nepal,"Study etc., au pair",2024M08,1
Nepal,"Study etc., interns",2024M08,6
Nepal,"Study etc., other reasons",2024M08,171
Vietnam,"Study etc., education",2024M08,4
Vietnam,"Study etc., interns",2024M08,26
Pakistan,"Study etc., education",2024M08,29
Pakistan,"Study etc., other reasons",2024M08,110
Philippines,"Study etc., education",2024M08,3
Philippines,"Study etc., au pair",2024M08,15
Philippines,"Study etc., interns",2024M08,4
Philippines,"Study etc., other reasons",2024M08,4
Singapore,"Study etc., education",2024M08,23
South Korea,"Study etc., education",2024M08,33
South Korea,"Study etc., interns",2024M08,2
South Korea,"Study etc., other reasons",2024M08,1
Syria,"Study etc., education",2024M08,2
Syria,"Study etc., other reasons",2024M08,1
Thailand,"Study etc., education",2024M08,10
Thailand,"Study etc., other reasons",2024M08,2
Australia,"Study etc., education",2024M08,71
Australia,"Study etc., other reasons",2024M08,7
New Zealand,"Study etc., education",2024M08,10
New Zealand,"Study etc., other reasons",2024M08,1
Russia,"Study etc., education",2024M08,7
Russia,"Study etc., other reasons",2024M08,1
Ukraine,"Study etc., education",2024M08,9
Ukraine,"Study etc., interns",2024M08,1
Ukraine,"Study etc., other reasons",2024M08,1
Armenia,"Study etc., education",2024M08,1
Azerbaijan,"Study etc., education",2024M08,1
Azerbaijan,"Study etc., interns",2024M08,1
Uzbekistan,"Study etc., interns",2024M08,8
Uzbekistan,"Study etc., other reasons",2024M08,1
